track_id,title,artist,genres,tags,lyrics
5,This World,AWOL,Hip-Hop,[],
193,Here With You,Ed Askew,Folk,[],
194,All I want to Do,Ed Askew,Folk,[],
197,Piano 2,Ed Askew,Folk,[],
204,My Dream,Ed Askew,Folk,[],
213,Boute,Au,Pop,[],
256,Toggle,Black Elk,Rock,[],
424,The Ambient Honky,Brian Joseph Davis,Experimental,[],
540,The Black Pirate,Charles Manson,Folk,[],
546,If You Have No One,Charles Manson,Folk,[],
574,Caliente Queen,Clockcleaner,Rock,[],
676,The Tension,Fanatic,Hip-Hop,[],
694,Planet Say (featuring Faust),Food For Animals,Hip-Hop,[],
708,Desconocido,Fósforo,International,[],
853,Welsinsni Melodyi,Hutzl Ukranian Ensemble,International,[],
892,Phantom Sky,Ilyas Ahmed,Folk,[],
997,Nothing's Ever Ending,Kevin Shields,Experimental,[],
1073,Onda Tocadisco,Lucky Dragons,Experimental,[],
1197,My Burning,Mount Eerie,Folk,[],
1259,Rolling In The Green,Nautical Almanac,Experimental,[],
1270,Cocksuckerbastardmotherfucker,Necropolis,Rock,[],
1642,Hrz,So Cow,Pop,[],
1684,Mahaba Wa Taka Nini,The Sounds of Taraab,International,[],
1685,Eni Wana Damu,The Sounds of Taraab,International,[],
1701,Clouds,Spires That in the Sunset Rise,Folk,[],
1736,Soft Beast,Teeth Mountain,Experimental,[],
1930,So Thereby...and furthermore...thus henceforth...Mono,Upsilon Acrux,Rock,[],
2097,My Sweet Miasma,Hall Of Fame,Folk,[],
2099,....like bacon sundays,luc,Pop,[],
3263,A Date,Ai Aso,Folk,[],
3270,Song for Obol,Arborea,Folk,[],
3271,Beirut,Arborea,Folk,[],
3272,Seadrift,Arborea,Folk,[],
3492,On The Wings,Citay,Rock,[],
3538,Say You Will,Cryptacize,Pop,[],
3624,Days of Summer,Fallen Leaves,Rock,[],
3725,West Alabama,Indian Jewelry,Rock,[],
3762,Snowy Parts of Scandinavia,Kinski,Rock,[],
3765,Waves of Second Guessing,Kinski,Rock,[],
3777,Volant,La Troba Kung-Fu,International,[],
3778,Calor Calor,La Troba Kung-Fu,International,[],
3833,Track 01,Lightning Bolt,Rock,[],
3906,Sometimes,Michael Chapman,Folk,[],
3911,Dust Devils,Michael Chapman,Folk,[],
3920,Fragrant Rota,Michael Holt,Folk,[],
4022,Can't Tell No One,Negative Approach,Rock,[],
4037,Oh! Mighty Engine,Neil Halstead,Folk,[],
4068,Alegrias Variation,Peter Walker,Folk,[],
4075,Un Momento,Pistolera,International,[],
4077,Algo Pa que te Olvides,Pistolera,International,[],
4079,Extranjero,Pistolera,International,[],
4093,Amsterdam,Polka Madre,International,[],
4098,Russo Trap,Polka Madre,International,[],
4103,Circo Del Siglo,Polka Madre,International,[],
4232,Bowmazan Ya Mahaba  Bi Kidude song ,The Sounds of Taraab,International,[],
4235,Kanilemaza  Ikhwani Safaa,The Sounds of Taraab,International,[],
4239,Shishituki,The Sounds of Taraab,International,[],
4510,no title,Yan Yalego,International,[],
4511,Petit 'n Mwen,Yan Yalego,International,[],
4519,Golden,High Places,Electronic,[],
4520,From Stardust to Sentience,High Places,Electronic,[],
4682,Asylum (Permanent Underclass),Dälek,Hip-Hop,[],
4688,Culture for Dollars,Dälek,Hip-Hop,[],
4788,Fire To Burn,Half Japanese,Rock,[],
4835,Steak,Peelander-Z,Rock,[],
4836,Panda Punk Tongue,Peelander-Z,Rock,[],
4838,Punk Rock,Peelander-Z,Rock,[],
5156,Circles,Peter Biedermann,Folk,[],
5191,Say What You Feel,caUSE co-MOTION,Pop,[],
5268,3 Rocks Blessed,Dälek,Hip-Hop,[],
5376,The Clouds,Mary Halvorson and Jessica Pavone,Folk,[],
5521,alone now,The Apartment,Experimental,[],
6329,Krivo Kopanitsa Horo,Sheqer,International,[],
6330,Nie Zama Nie Sema,The Sounds of Taraab,International,[],
6331,track 1,Kavala Brass Band,International,[],
6360,Sabah Sabah Seyredelim Yaliyi,Orkestra Keyif,International,['il'],
6366,Taheya,Zikrayat,International,[],
6367,"Manowe, Mahaba Wa Takanini, Mapenz",The Sounds of Taraab,International,[],
6370,Leventikos,Raya Brass Band,International,[],
6372,track 03,Scott Wilson & Efendi,International,[],
6390,track 5,Kavala Brass Band,International,[],
6396,Sarki,Sheqer,International,[],
6443,Music,EPMD,Hip-Hop,[],
6469,Derya'da Deryaliklar,Orkestra Keyif,International,['il'],
6605,Bad Weather,Height With Friends,Hip-Hop,[],
6611,Escape Tune,Height With Friends,Hip-Hop,[],
6675,The End of Senseless Beating,Jarrod Fowler,Experimental,[],
6762,Western States,Matt Bauer,Folk,[],
6782,Sunshine,Cath and Phil Tyler,Folk,[],
6783,Fisherman's Girl,Cath and Phil Tyler,Folk,[],
6788,Tokugiri Star,Peelander-Z,Rock,[],
6855,This Old Love,Lior,Folk,[],
6857,Drone Trailer,MV + EE and Willie Lane,Folk,[],
7373,heartbreaker,Lucky Dragons,Experimental,[],
7374,new homes,Lucky Dragons,Experimental,[],
7383,i hear horrible music,Lucky Dragons,Experimental,[],
7393,leaving things as they are,Lucky Dragons,Experimental,[],
7487,The Robot's Heel,BrokeMC,Hip-Hop,[],
7488,The Discovery,BrokeMC,Hip-Hop,[],
7492,In the Dark,BrokeMC,Hip-Hop,[],
7554,Seventh Movement,Z'EV,Experimental,[],
7710,What If We Do,Mia Doi Todd,Folk,[],
7713,I gave you my home,Mia Doi Todd,Folk,[],
8208,Rocket USA,Alan Vega & Oneida,Rock,[],
9155,Tossypot,Peeled Hearts Paste,Experimental,[],
9491,Rape Me,Toxic Lipstick,Rock,[],
9511,Message From the Law,Sic Alps,Rock,[],
9513,Cold Water,Old Time Relijun,Rock,[],
9559,Mississippi Kite,Kristin Hersh,Rock,[],
10192,Fucking Exotic Bitches,The Professional Savage,Hip-Hop,[],
10374,Into the Fog,Sodadosa,Experimental,[],
10375,Torturing Mantra,Sodadosa,Experimental,[],
10387,Tease it Like a Cop,Big Blood,Folk,['folk'],
10435,Paku Paku,Funky Terrorist,Experimental,[],
10443,Beast (1 Beast),Big Blood,Folk,[],
10447,Low Gravity Blues,Big Blood,Folk,[],
10480,Adversaries &amp; Enemies,Big Blood,Folk,[],
10521,boys boys boys,Sabrina,Experimental,[],
10577,One Mile From Heaven (short version),Bobb Trimble,Folk,[],
10670,Letting You,Nine Inch Nails,Rock,[],
10676,The Four of Us are Dying,Nine Inch Nails,Rock,[],
10694,aint no thing,BOPD,Hip-Hop,[],
10696,2.18.05 dai,BOPD,Hip-Hop,[],
10697,1.26 beat1,BOPD,Hip-Hop,[],
10805,Super Nude,Lesbian Afternoon,Pop,[],
10993,Oh Country (Skin &amp; Bones),Big Blood,Folk,['folk'],
